id,SDG_001_RAW,SDG_002_RAW,SDG_003_RAW,SDG_004_RAW,SDG_005_RAW,SDG_006_RAW,SDG_007_RAW,SDG_008_RAW,SDG_009_RAW,SDG_010_RAW,SDG_010_1_RAW,SDG_011_RAW,SDG_011_1_RAW,SDG_012_RAW,SDG_001_DIR,SDG_002_DIR,SDG_003_DIR,SDG_004_DIR,SDG_005_DIR,SDG_006_DIR,SDG_007_DIR,SDG_008_DIR,SDG_009_DIR,SDG_010_DIR,SDG_010_1_DIR,SDG_011_DIR,SDG_011_1_DIR,SDG_012_DIR,SDG_RAW_NA,SDG_DIR_NA
082yon1f8s,,z6hcI14@gmail.com,,No binario,,,600 mil – 799 mil,,,No,NA,No,NA,No,,z6hcI14@gmail.com,,0,,,5,,,0,NA,0,NA,0,2,2
198ffmz813,,eVE9c6@gmail.com,,No binario,,,800 mil – 999 mil,,,No,NA,Si,,No,,eVE9c6@gmail.com,,0,,,6,,,0,NA,1,,0,1,1
1cz3j0oygl,,fWzNdijDlX@gmail.com,,Masculino,,,400 mil – 599 mil,,,Si,,No,NA,No,,fWzNdijDlX@gmail.com,,1,,,4,,,1,,0,NA,0,1,1
1geph65310,,UlY9x0@gmail.com,,No binario,,,1.000.000 – 1.500.000,,,No,NA,No,NA,No,,UlY9x0@gmail.com,,0,,,7,,,0,NA,0,NA,0,2,2
1ql026p3y1,,mVyfa0goP@gmail.com,,Masculino,,,600 mil – 799 mil,,,No,NA,Si,,Si,,mVyfa0goP@gmail.com,,1,,,5,,,0,NA,1,,1,1,1
1zft2e3qp3,,AoXzNFKjQ@gmail.com,,Femenino,,,200 mil – 399 mil,,,No,NA,No,NA,Si,,AoXzNFKjQ@gmail.com,,0,,,3,,,0,NA,0,NA,1,2,2
1zzo6hstkp,,OHypm8@gmail.com,,No binario,,,200 mil – 399 mil,,,No,NA,Si,,Si,,OHypm8@gmail.com,,0,,,3,,,0,NA,1,,1,1,1
22eggg60y0,,HXjT5FiGaW@gmail.com,,No binario,,,1.000.000 – 1.500.000,,,Si,,No,NA,No,,HXjT5FiGaW@gmail.com,,0,,,7,,,1,,0,NA,0,1,1
22j8z6m295,,2TIm1mY6dr@gmail.com,,Femenino,,,200 mil – 399 mil,,,Si,,No,NA,No,,2TIm1mY6dr@gmail.com,,0,,,3,,,1,,0,NA,0,1,1
2bnosnpjg1,,kB86O94kMt@gmail.com,,Masculino,,,400 mil – 599 mil,,,No,NA,No,NA,Si,,kB86O94kMt@gmail.com,,1,,,4,,,0,NA,0,NA,1,2,2
2bx6a27wgy,,bDRMqR@gmail.com,,Femenino,,,200 mil – 399 mil,,,No,NA,No,NA,Si,,bDRMqR@gmail.com,,0,,,3,,,0,NA,0,NA,1,2,2
2kjksz3dk6,,GWldXi@gmail.com,,No binario,,,Menos de 100 mil,,,Si,,No,NA,No,,GWldXi@gmail.com,,0,,,1,,,1,,0,NA,0,1,1
2mywdvql6d,,vwad6FG@gmail.com,,No binario,,,400 mil – 599 mil,,,Si,,No,NA,Si,,vwad6FG@gmail.com,,0,,,4,,,1,,0,NA,1,1,1
30jdzb9h5k,,rlXnAV5JcV@gmail.com,,Femenino,,,200 mil – 399 mil,,,Si,,No,NA,Si,,rlXnAV5JcV@gmail.com,,0,,,3,,,1,,0,NA,1,1,1
33cfoos1cj,,byQpGXSA@gmail.com,,Masculino,,,800 mil – 999 mil,,,No,NA,Si,,No,,byQpGXSA@gmail.com,,1,,,6,,,0,NA,1,,0,1,1
34g5faf8dk,,SEGeJE6K4Z@gmail.com,,Femenino,,,600 mil – 799 mil,,,No,NA,Si,,No,,SEGeJE6K4Z@gmail.com,,0,,,5,,,0,NA,1,,0,1,1
3hcye28j4f,,Nh8Iwp@gmail.com,,Masculino,,,100 mil – 199 mil,,,Si,,Si,,Si,,Nh8Iwp@gmail.com,,1,,,2,,,1,,1,,1,0,0
3kgh8q2chr,,DszCCoEIH@gmail.com,,Femenino,,,600 mil – 799 mil,,,Si,,Si,,No,,DszCCoEIH@gmail.com,,0,,,5,,,1,,1,,0,0,0
3l1rjzr1fa,,GvzN20i@gmail.com,,Masculino,,,200 mil – 399 mil,,,No,NA,No,NA,No,,GvzN20i@gmail.com,,1,,,3,,,0,NA,0,NA,0,2,2
3ncvz1y8n3,,I2HnGWL@gmail.com,,Femenino,,,1.000.000 – 1.500.000,,,Si,,No,NA,No,,I2HnGWL@gmail.com,,0,,,7,,,1,,0,NA,0,1,1
3xbk959gyo,,5eJMl@gmail.com,,Masculino,,,800 mil – 999 mil,,,No,NA,No,NA,Si,,5eJMl@gmail.com,,1,,,6,,,0,NA,0,NA,1,2,2
4213z28ad7,,wDx028o@gmail.com,,Femenino,,,100 mil – 199 mil,,,Si,,Si,,No,,wDx028o@gmail.com,,0,,,2,,,1,,1,,0,0,0
4fqkay53v1,,o8T9WU@gmail.com,,Femenino,,,Menos de 100 mil,,,Si,,Si,,Si,,o8T9WU@gmail.com,,0,,,1,,,1,,1,,1,0,0
4j7j7cqxla,,bgnl5@gmail.com,,Masculino,,,600 mil – 799 mil,,,No,NA,Si,,Si,,bgnl5@gmail.com,,1,,,5,,,0,NA,1,,1,1,1
4lyok1kabv,,0KRv1H7@gmail.com,,Masculino,,,800 mil – 999 mil,,,No,NA,No,NA,No,,0KRv1H7@gmail.com,,1,,,6,,,0,NA,0,NA,0,2,2
4scghjtvfc,,5IbPn@gmail.com,,Femenino,,,600 mil – 799 mil,,,No,NA,Si,,No,,5IbPn@gmail.com,,0,,,5,,,0,NA,1,,0,1,1
4upg4vr5tz,,429DLf@gmail.com,,Femenino,,,Más de 1.500.000,,,Si,,Si,,Si,,429DLf@gmail.com,,0,,,8,,,1,,1,,1,0,0
4xyj6fx8w9,,EDTrZJe@gmail.com,,Femenino,,,1.000.000 – 1.500.000,,,No,NA,Si,,No,,EDTrZJe@gmail.com,,0,,,7,,,0,NA,1,,0,1,1
5hy23ac493,,v99h6r@gmail.com,,Masculino,,,Menos de 100 mil,,,No,NA,No,NA,No,,v99h6r@gmail.com,,1,,,1,,,0,NA,0,NA,0,2,2
5jwndyfo63,,bEHwt@gmail.com,,No binario,,,800 mil – 999 mil,,,Si,,No,NA,Si,,bEHwt@gmail.com,,0,,,6,,,1,,0,NA,1,1,1
5lh5jn8ogo,,TaaXJe5@gmail.com,,Femenino,,,800 mil – 999 mil,,,No,NA,No,NA,No,,TaaXJe5@gmail.com,,0,,,6,,,0,NA,0,NA,0,2,2
5pq1892xr2,,x0qpRq@gmail.com,,No binario,,,100 mil – 199 mil,,,Si,,No,NA,No,,x0qpRq@gmail.com,,0,,,2,,,1,,0,NA,0,1,1
5ze99wwyzg,,FoMwGd@gmail.com,,No binario,,,Más de 1.500.000,,,No,NA,No,NA,Si,,FoMwGd@gmail.com,,0,,,8,,,0,NA,0,NA,1,2,2
721nldl3hk,,ojxSrt0S@gmail.com,,Femenino,,,400 mil – 599 mil,,,Si,,No,NA,No,,ojxSrt0S@gmail.com,,0,,,4,,,1,,0,NA,0,1,1
7b3vrfl7yx,,7WS3trM@gmail.com,,Masculino,,,1.000.000 – 1.500.000,,,Si,,No,NA,No,,7WS3trM@gmail.com,,1,,,7,,,1,,0,NA,0,1,1
7dsu96rh9s,,MnLxMJyXp@gmail.com,,Masculino,,,1.000.000 – 1.500.000,,,No,NA,No,NA,Si,,MnLxMJyXp@gmail.com,,1,,,7,,,0,NA,0,NA,1,2,2
7mr0sg6y83,,ap3gjZgw@gmail.com,,Femenino,,,Más de 1.500.000,,,Si,,No,NA,Si,,ap3gjZgw@gmail.com,,0,,,8,,,1,,0,NA,1,1,1
7pbuln5m01,,Mc4yluy@gmail.com,,Masculino,,,200 mil – 399 mil,,,No,NA,No,NA,No,,Mc4yluy@gmail.com,,1,,,3,,,0,NA,0,NA,0,2,2
7vxgxt0rc5,,CsHx3@gmail.com,,No binario,,,100 mil – 199 mil,,,No,NA,No,NA,No,,CsHx3@gmail.com,,0,,,2,,,0,NA,0,NA,0,2,2
7z8bcdbqgl,,k2uUE@gmail.com,,Masculino,,,200 mil – 399 mil,,,No,NA,Si,,No,,k2uUE@gmail.com,,1,,,3,,,0,NA,1,,0,1,1
8evkdzrlyq,,d9Ui4@gmail.com,,Femenino,,,200 mil – 399 mil,,,No,NA,Si,,Si,,d9Ui4@gmail.com,,0,,,3,,,0,NA,1,,1,1,1
8g2ukdmqya,,I68NpE5@gmail.com,,Masculino,,,Más de 1.500.000,,,No,NA,Si,,No,,I68NpE5@gmail.com,,1,,,8,,,0,NA,1,,0,1,1
8khkqwrctk,,Ei47wAkDYw@gmail.com,,No binario,,,100 mil – 199 mil,,,No,NA,Si,,No,,Ei47wAkDYw@gmail.com,,0,,,2,,,0,NA,1,,0,1,1
8vmbbnagsa,,AV7wkFaNtN@gmail.com,,Femenino,,,Más de 1.500.000,,,No,NA,Si,,Si,,AV7wkFaNtN@gmail.com,,0,,,8,,,0,NA,1,,1,1,1
90kkx9ja4q,,fNGHDwqyAZ@gmail.com,,No binario,,,100 mil – 199 mil,,,Si,,Si,,Si,,fNGHDwqyAZ@gmail.com,,0,,,2,,,1,,1,,1,0,0
92vkkqc5mv,,u0Bdco@gmail.com,,Femenino,,,Más de 1.500.000,,,No,NA,Si,,No,,u0Bdco@gmail.com,,0,,,8,,,0,NA,1,,0,1,1
96zsxy7sba,,KIM0Pv@gmail.com,,Femenino,,,Más de 1.500.000,,,No,NA,No,NA,No,,KIM0Pv@gmail.com,,0,,,8,,,0,NA,0,NA,0,2,2
9k2579rrx7,,ArqpXowk@gmail.com,,Masculino,,,Más de 1.500.000,,,Si,,Si,,Si,,ArqpXowk@gmail.com,,1,,,8,,,1,,1,,1,0,0
9vs3bc7s4y,,BmenWfBp@gmail.com,,Femenino,,,100 mil – 199 mil,,,No,NA,Si,,No,,BmenWfBp@gmail.com,,0,,,2,,,0,NA,1,,0,1,1
aa8r46b3ux,,KxKKJO@gmail.com,,No binario,,,Más de 1.500.000,,,Si,,Si,,No,,KxKKJO@gmail.com,,0,,,8,,,1,,1,,0,0,0
ag8zd67dhr,,LBbBNkQyAi@gmail.com,,No binario,,,400 mil – 599 mil,,,Si,,Si,,Si,,LBbBNkQyAi@gmail.com,,0,,,4,,,1,,1,,1,0,0
ah7t5bzpf3,,p8qiQTE6@gmail.com,,Femenino,,,600 mil – 799 mil,,,Si,,Si,,No,,p8qiQTE6@gmail.com,,0,,,5,,,1,,1,,0,0,0
aophl7k2k6,,N6Y974@gmail.com,,Femenino,,,1.000.000 – 1.500.000,,,Si,,Si,,No,,N6Y974@gmail.com,,0,,,7,,,1,,1,,0,0,0
b7f4hnqpg2,,0JOAP@gmail.com,,No binario,,,800 mil – 999 mil,,,Si,,No,NA,Si,,0JOAP@gmail.com,,0,,,6,,,1,,0,NA,1,1,1
bale3xl06k,,uqD0PnZlrc@gmail.com,,Masculino,,,1.000.000 – 1.500.000,,,Si,,No,NA,No,,uqD0PnZlrc@gmail.com,,1,,,7,,,1,,0,NA,0,1,1
brjht9nmu9,,XMBwl@gmail.com,,Masculino,,,600 mil – 799 mil,,,Si,,No,NA,No,,XMBwl@gmail.com,,1,,,5,,,1,,0,NA,0,1,1
bwt12n9qj9,,BpNhieD@gmail.com,,Femenino,,,200 mil – 399 mil,,,No,NA,No,NA,Si,,BpNhieD@gmail.com,,0,,,3,,,0,NA,0,NA,1,2,2
by7v8bl7of,,lyEOa7@gmail.com,,Masculino,,,Menos de 100 mil,,,No,NA,No,NA,No,,lyEOa7@gmail.com,,1,,,1,,,0,NA,0,NA,0,2,2
c5el7ygpwu,,7RXAHudK@gmail.com,,No binario,,,100 mil – 199 mil,,,Si,,No,NA,No,,7RXAHudK@gmail.com,,0,,,2,,,1,,0,NA,0,1,1
c7fryfrpnh,,0N6d8@gmail.com,,Femenino,,,Menos de 100 mil,,,Si,,No,NA,Si,,0N6d8@gmail.com,,0,,,1,,,1,,0,NA,1,1,1
c7ws8fexjx,,lP6XJ1@gmail.com,,Femenino,,,Menos de 100 mil,,,No,NA,No,NA,No,,lP6XJ1@gmail.com,,0,,,1,,,0,NA,0,NA,0,2,2
c8rjnz79uk,,574ra@gmail.com,,Femenino,,,100 mil – 199 mil,,,Si,,No,NA,No,,574ra@gmail.com,,0,,,2,,,1,,0,NA,0,1,1
chylxjtm09,,p7ps3TSUY@gmail.com,,Masculino,,,400 mil – 599 mil,,,Si,,Si,,Si,,p7ps3TSUY@gmail.com,,1,,,4,,,1,,1,,1,0,0
cj35eze74r,,6otl06JtUk@gmail.com,,Masculino,,,100 mil – 199 mil,,,No,NA,Si,,Si,,6otl06JtUk@gmail.com,,1,,,2,,,0,NA,1,,1,1,1
cuvccwkcqj,,9R05N@gmail.com,,No binario,,,200 mil – 399 mil,,,Si,,Si,,No,,9R05N@gmail.com,,0,,,3,,,1,,1,,0,0,0
d3gr4hqn2z,,lh2HcGa8@gmail.com,,No binario,,,200 mil – 399 mil,,,Si,,No,NA,No,,lh2HcGa8@gmail.com,,0,,,3,,,1,,0,NA,0,1,1
d4qoclrg90,,xrDIwIiHS@gmail.com,,Masculino,,,100 mil – 199 mil,,,No,NA,Si,,Si,,xrDIwIiHS@gmail.com,,1,,,2,,,0,NA,1,,1,1,1
dbq0df9rfa,,NVZLEYiE@gmail.com,,Femenino,,,1.000.000 – 1.500.000,,,No,NA,No,NA,Si,,NVZLEYiE@gmail.com,,0,,,7,,,0,NA,0,NA,1,2,2
dmlwcyjwfw,,gcCYhPyvo@gmail.com,,Femenino,,,800 mil – 999 mil,,,No,NA,Si,,No,,gcCYhPyvo@gmail.com,,0,,,6,,,0,NA,1,,0,1,1
dtpgk4je3a,,dbyGj9@gmail.com,,No binario,,,100 mil – 199 mil,,,Si,,No,NA,No,,dbyGj9@gmail.com,,0,,,2,,,1,,0,NA,0,1,1
dygujm00v6,,d2K6Z@gmail.com,,No binario,,,800 mil – 999 mil,,,No,NA,No,NA,Si,,d2K6Z@gmail.com,,0,,,6,,,0,NA,0,NA,1,2,2
e4jxvwy2w0,,8ZpVCKIQEN@gmail.com,,Masculino,,,800 mil – 999 mil,,,No,NA,Si,,No,,8ZpVCKIQEN@gmail.com,,1,,,6,,,0,NA,1,,0,1,1
el7knnbhqc,,U91KXmMZ9k@gmail.com,,No binario,,,100 mil – 199 mil,,,Si,,Si,,No,,U91KXmMZ9k@gmail.com,,0,,,2,,,1,,1,,0,0,0
er00j5kzhv,,E52Gz@gmail.com,,Femenino,,,800 mil – 999 mil,,,No,NA,Si,,Si,,E52Gz@gmail.com,,0,,,6,,,0,NA,1,,1,1,1
f434fd4yec,,kkkpRaM@gmail.com,,No binario,,,Más de 1.500.000,,,No,NA,Si,,Si,,kkkpRaM@gmail.com,,0,,,8,,,0,NA,1,,1,1,1
fkw2jdm33r,,NrdN2@gmail.com,,Femenino,,,600 mil – 799 mil,,,No,NA,No,NA,No,,NrdN2@gmail.com,,0,,,5,,,0,NA,0,NA,0,2,2
fp5c2zkmq4,,whb2i@gmail.com,,Masculino,,,Más de 1.500.000,,,Si,,Si,,No,,whb2i@gmail.com,,1,,,8,,,1,,1,,0,0,0
fu71sdtqp7,,GUmkfZ@gmail.com,,Masculino,,,Más de 1.500.000,,,Si,,No,NA,No,,GUmkfZ@gmail.com,,1,,,8,,,1,,0,NA,0,1,1
g4bda40oys,,VWitof9@gmail.com,,Masculino,,,1.000.000 – 1.500.000,,,No,NA,No,NA,No,,VWitof9@gmail.com,,1,,,7,,,0,NA,0,NA,0,2,2
gfna40535s,,eGzsH@gmail.com,,No binario,,,200 mil – 399 mil,,,No,NA,No,NA,Si,,eGzsH@gmail.com,,0,,,3,,,0,NA,0,NA,1,2,2
gl63qscfdn,,o8g1Q@gmail.com,,Masculino,,,800 mil – 999 mil,,,No,NA,Si,,Si,,o8g1Q@gmail.com,,1,,,6,,,0,NA,1,,1,1,1
gwym2q1qky,,JLjCw@gmail.com,,Femenino,,,800 mil – 999 mil,,,Si,,Si,,Si,,JLjCw@gmail.com,,0,,,6,,,1,,1,,1,0,0
