id,Report_001_RAW,Report_001_1_RAW,Report_001_2_RAW,Report_002_RAW,Report_001_DIR,Report_001_1_DIR,Report_001_2_DIR,Report_002_DIR,Report_RAW_NA,Report_DIR_NA,Report_informe_DIRd,Report_alias_DIRd,Report_SoloContacto_DIRd,Report_EmailFuturo_DIRd
082yon1f8s,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
198ffmz813,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
1cz3j0oygl,"Si, deseo recibir el informe",,FxvY8YfRQE@gmail.com,"Si, acepto ser contactado en el futuro",1,,FxvY8YfRQE@gmail.com,1,0,0,1,,FxvY8YfRQE@gmail.com,FxvY8YfRQE@gmail.com
1geph65310,"Si, deseo recibir el informe",,y1D6zurQ@gmail.com,"No, no acepto que mis datos sean reutilizados",1,,y1D6zurQ@gmail.com,0,0,0,1,,y1D6zurQ@gmail.com,NA
1ql026p3y1,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
1zft2e3qp3,"Si, deseo recibir el informe",,5TRIaTLC@gmail.com,"Si, acepto ser contactado en el futuro",1,,5TRIaTLC@gmail.com,1,0,0,1,,5TRIaTLC@gmail.com,5TRIaTLC@gmail.com
1zzo6hstkp,"Si, deseo recibir el informe",,6iJ4ZTeV@gmail.com,"Si, acepto ser contactado en el futuro",1,,6iJ4ZTeV@gmail.com,1,0,0,1,,6iJ4ZTeV@gmail.com,6iJ4ZTeV@gmail.com
22eggg60y0,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
22j8z6m295,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
2bnosnpjg1,"Si, deseo recibir el informe",,NiRNf5C@gmail.com,"No, no acepto que mis datos sean reutilizados",1,,NiRNf5C@gmail.com,0,0,0,1,,NiRNf5C@gmail.com,NA
2bx6a27wgy,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
2kjksz3dk6,"Si, deseo recibir el informe",,P2fvw@gmail.com,"Si, acepto ser contactado en el futuro",1,,P2fvw@gmail.com,1,0,0,1,,P2fvw@gmail.com,P2fvw@gmail.com
2mywdvql6d,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
30jdzb9h5k,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
33cfoos1cj,"Si, deseo recibir el informe",,xoaaVqCN@gmail.com,"No, no acepto que mis datos sean reutilizados",1,,xoaaVqCN@gmail.com,0,0,0,1,,xoaaVqCN@gmail.com,NA
34g5faf8dk,"Si, deseo recibir el informe",,Ot1kV8ss@gmail.com,"Si, acepto ser contactado en el futuro",1,,Ot1kV8ss@gmail.com,1,0,0,1,,Ot1kV8ss@gmail.com,Ot1kV8ss@gmail.com
3hcye28j4f,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
3kgh8q2chr,"Si, deseo recibir el informe",,I2nlUYOkn@gmail.com,"No, no acepto que mis datos sean reutilizados",1,,I2nlUYOkn@gmail.com,0,0,0,1,,I2nlUYOkn@gmail.com,NA
3l1rjzr1fa,"Si, deseo recibir el informe",,iHXMfIpjh8@gmail.com,"No, no acepto que mis datos sean reutilizados",1,,iHXMfIpjh8@gmail.com,0,0,0,1,,iHXMfIpjh8@gmail.com,NA
3ncvz1y8n3,"Si, deseo recibir el informe",,YkmuqQwo@gmail.com,"Si, acepto ser contactado en el futuro",1,,YkmuqQwo@gmail.com,1,0,0,1,,YkmuqQwo@gmail.com,YkmuqQwo@gmail.com
3xbk959gyo,"Si, deseo recibir el informe",,lz77o@gmail.com,"No, no acepto que mis datos sean reutilizados",1,,lz77o@gmail.com,0,0,0,1,,lz77o@gmail.com,NA
4213z28ad7,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
4fqkay53v1,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
4j7j7cqxla,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
4lyok1kabv,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
4scghjtvfc,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
4upg4vr5tz,"Si, deseo recibir el informe",,1PckfM3rn@gmail.com,"Si, acepto ser contactado en el futuro",1,,1PckfM3rn@gmail.com,1,0,0,1,,1PckfM3rn@gmail.com,1PckfM3rn@gmail.com
4xyj6fx8w9,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
5hy23ac493,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
5jwndyfo63,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
5lh5jn8ogo,"Si, deseo recibir el informe",,oO0pgu4k2T@gmail.com,"No, no acepto que mis datos sean reutilizados",1,,oO0pgu4k2T@gmail.com,0,0,0,1,,oO0pgu4k2T@gmail.com,NA
5pq1892xr2,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
5ze99wwyzg,"Si, deseo recibir el informe",,4DcZt@gmail.com,"Si, acepto ser contactado en el futuro",1,,4DcZt@gmail.com,1,0,0,1,,4DcZt@gmail.com,4DcZt@gmail.com
721nldl3hk,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
7b3vrfl7yx,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
7dsu96rh9s,"Si, deseo recibir el informe",,Ei4pDBwvFE@gmail.com,"Si, acepto ser contactado en el futuro",1,,Ei4pDBwvFE@gmail.com,1,0,0,1,,Ei4pDBwvFE@gmail.com,Ei4pDBwvFE@gmail.com
7mr0sg6y83,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
7pbuln5m01,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
7vxgxt0rc5,"Si, deseo recibir el informe",,XpJZvb@gmail.com,"Si, acepto ser contactado en el futuro",1,,XpJZvb@gmail.com,1,0,0,1,,XpJZvb@gmail.com,XpJZvb@gmail.com
7z8bcdbqgl,"Si, deseo recibir el informe",,fByAaNQe7W@gmail.com,"No, no acepto que mis datos sean reutilizados",1,,fByAaNQe7W@gmail.com,0,0,0,1,,fByAaNQe7W@gmail.com,NA
8evkdzrlyq,"Si, deseo recibir el informe",,1LfN38@gmail.com,"No, no acepto que mis datos sean reutilizados",1,,1LfN38@gmail.com,0,0,0,1,,1LfN38@gmail.com,NA
8g2ukdmqya,"Si, deseo recibir el informe",,oC8VvIGAc@gmail.com,"No, no acepto que mis datos sean reutilizados",1,,oC8VvIGAc@gmail.com,0,0,0,1,,oC8VvIGAc@gmail.com,NA
8khkqwrctk,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
8vmbbnagsa,"Si, deseo recibir el informe",,SltusDWfU@gmail.com,"Si, acepto ser contactado en el futuro",1,,SltusDWfU@gmail.com,1,0,0,1,,SltusDWfU@gmail.com,SltusDWfU@gmail.com
90kkx9ja4q,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
92vkkqc5mv,"Si, deseo recibir el informe",,SCL5gj@gmail.com,"No, no acepto que mis datos sean reutilizados",1,,SCL5gj@gmail.com,0,0,0,1,,SCL5gj@gmail.com,NA
96zsxy7sba,"Si, deseo recibir el informe",,eRIacN@gmail.com,"Si, acepto ser contactado en el futuro",1,,eRIacN@gmail.com,1,0,0,1,,eRIacN@gmail.com,eRIacN@gmail.com
9k2579rrx7,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
9vs3bc7s4y,"Si, deseo recibir el informe",,ORRMdTVL@gmail.com,"No, no acepto que mis datos sean reutilizados",1,,ORRMdTVL@gmail.com,0,0,0,1,,ORRMdTVL@gmail.com,NA
aa8r46b3ux,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
ag8zd67dhr,"Si, deseo recibir el informe",,nVaAbna@gmail.com,"Si, acepto ser contactado en el futuro",1,,nVaAbna@gmail.com,1,0,0,1,,nVaAbna@gmail.com,nVaAbna@gmail.com
ah7t5bzpf3,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
aophl7k2k6,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
b7f4hnqpg2,"Si, deseo recibir el informe",,xxc3Gjw@gmail.com,"Si, acepto ser contactado en el futuro",1,,xxc3Gjw@gmail.com,1,0,0,1,,xxc3Gjw@gmail.com,xxc3Gjw@gmail.com
